"CURRENCYID","ISALTERED","ISFIRSTED","ISFOIL","ISPLAYSET","ISSIGNED","LANGUAGEID","LANGUAGENAME","PRICE","PRODUCTID"
"1","false","","false","false","false","11","T-Chinese","0.25","279"
"1","false","","false","false","false","4","Spanish","0.25","11559"
"1","false","","false","false","false","4","Spanish","9.99","12550"
"1","false","","false","false","false","1","English","0.1","258476"
"1","false","","false","false","false","1","English","0.1","415841"
"1","false","","false","false","false","1","English","0.99","3312"
"1","false","","false","false","false","1","English","0.15","400454"
"1","false","","false","false","false","1","English","0.1","360239"
"1","false","","true","false","false","1","English","0.99","451768"
"1","false","","false","false","false","1","English","0.1","376617"
"1","false","","false","false","false","1","English","0.15","513640"
"1","false","","false","false","false","1","English","300","242098"
"1","false","","false","false","false","4","Spanish","0.25","9577"
"1","false","","false","false","false","4","Spanish","0.1","245859"
"1","false","","false","false","false","1","English","0.15","429246"
"1","false","","false","false","false","1","English","0.15","432219"
"1","false","","false","false","false","1","English","0.15","2321"
"1","false","","false","false","false","1","English","1.75","14735"
"1","false","","false","false","false","1","English","0.2","11762"
"1","false","","false","false","false","1","English","3.5","301664"
"1","false","","false","false","false","4","Spanish","0.2","362018"
"1","false","","false","false","false","4","Spanish","0.15","247372"
"1","false","","false","false","false","1","English","0.1","379590"
"1","false","","false","false","false","1","English","0.15","296709"
"1","false","","false","false","false","1","English","0.15","10771"
"1","false","","false","false","false","1","English","0.15","364203"
"1","false","","false","false","false","10","Korean","0.25","8864"
"1","false","","false","false","false","4","Spanish","0.2","20478"
"1","false","","true","false","false","1","English","0.5","443318"
"1","false","","false","false","false","1","English","0.25","9780"
"1","false","","false","false","false","1","English","0.1","420796"
"1","false","","false","false","false","1","English","0.1","294205"
"1","false","","false","false","false","1","English","0.75","291754"
"1","false","","false","false","false","4","Spanish","0.2","378396"
"1","false","","false","false","false","1","English","0.25","6285"
"1","false","","false","false","false","1","English","12.99","319033"
"1","false","","false","false","false","1","English","1.5","4825"
"1","false","","false","false","false","4","Spanish","0.2","13541"
"1","false","","true","false","false","1","English","0.99","300349"
"1","false","","false","false","false","1","English","0.5","419336"
"1","false","","false","false","false","4","Spanish","1.99","19487"
"1","false","","false","false","false","1","English","0.15","358726"
"1","false","","false","false","false","1","English","0.15","16248"
"1","false","","false","false","false","1","English","0.1","487299"
"1","false","","true","false","false","4","Spanish","0.5","315586"
"1","false","","false","false","false","1","English","0.1","273394"
"1","false","","false","false","false","1","English","0.1","259989"
"1","false","","false","false","false","6","S-Chinese","0.25","3520"
"1","false","","false","false","false","4","Spanish","0.1","283623"
"1","false","","false","false","false","1","English","0.75","301195"
"1","false","","false","false","false","1","English","0.1","1852"
"1","false","","false","false","false","1","English","0.5","372184"
"1","false","","true","false","false","1","English","0.75","262116"
"1","false","","false","false","false","1","English","0.15","19221"
"1","false","","false","false","false","1","English","0.1","498775"
"1","false","","false","false","false","1","English","0.2","298169"
"1","false","","false","false","false","1","English","0.1","282782"
"1","false","","false","false","false","1","English","0.25","391482"
"1","false","","false","false","false","1","English","0.35","240638"
"1","false","","false","false","false","4","Spanish","0.15","8064"
"1","false","","true","false","false","4","Spanish","49.99","355748"
"1","false","","false","false","false","4","Spanish","0.35","273138"
"1","false","","false","false","false","1","English","0.2","2843"
"1","false","","false","false","false","1","English","0.15","422256"
"1","false","","false","false","false","4","Spanish","0.2","319874"
"1","false","","false","false","false","4","Spanish","2.25","17974"
"1","false","","false","false","false","1","English","1.25","8267"
"1","false","","false","false","false","4","Spanish","0.75","3578"
"1","false","","false","false","false","1","English","0.25","293683"
"1","false","","true","false","false","4","Spanish","1.5","451043"
"1","false","","true","false","false","1","English","0.15","355429"
"1","false","","false","false","false","1","English","0.2","466019"
"1","false","","false","false","false","1","English","0.25","252530"
"1","false","","false","false","false","1","English","0.5","21150"
"1","false","","false","false","false","4","Spanish","0.25","6082"
"1","false","","false","false","false","1","English","0.15","10249"
"1","false","","true","false","false","1","English","0.2","453228"
"1","false","","false","false","false","1","English","7.99","21725"
"1","false","","false","false","false","1","English","0.1","512180"
"1","false","","true","false","false","1","English","0.2","401174"
"1","false","","false","false","false","1","English","0.15","454543"
"1","false","","false","false","false","1","English","0.1","297178"
"1","false","","true","false","false","1","English","1.25","468199"
"1","false","","false","false","false","1","English","1.75","451048"
"1","false","","false","false","false","4","Spanish","0.99","251336"
"1","false","","false","false","false","1","English","0.15","261918"
"1","false","","true","false","false","1","English","0.25","2050"
"1","false","","false","false","false","1","English","5.99","498200"
"1","false","","false","false","false","1","English","0.25","319555"
"1","false","","false","false","false","1","English","0.1","257016"
"1","false","","false","false","false","1","English","6.99","5763"
"1","false","","false","false","false","4","Spanish","11.99","18965"
"1","false","","false","false","false","1","English","0.1","360292"
"1","false","","true","false","false","1","English","0.15","432364"
"1","false","","false","false","false","1","English","0.1","531062"
"1","false","","false","false","false","1","English","0.2","287215"
"1","false","","false","false","false","4","Spanish","0.25","9524"
"1","false","","false","false","false","4","Spanish","0.5","189"
"1","false","","true","false","false","3","German","2.5","254925"
"1","false","","true","false","false","1","English","0.15","301809"
"1","false","","false","false","false","1","English","0.25","261502"
"1","false","","false","false","false","1","English","0.1","375573"
"1","false","","false","false","false","1","English","0.75","19743"
"1","false","","false","false","false","4","Spanish","0.35","251389"
"1","false","","false","false","false","1","English","8.99","19637"
"1","false","","false","false","false","1","English","0.15","6338"
"1","false","","false","false","false","4","Spanish","0.99","13488"
"1","false","","false","false","false","9","Russian","0.25","273125"
"1","false","","false","false","false","1","English","0.15","9311"
"1","false","","false","false","false","1","English","0.75","21619"
"1","false","","false","false","false","11","T-Chinese","0.5","251426"
"1","false","","false","false","false","1","English","0.25","297753"
"1","false","","false","false","false","4","Spanish","0.25","250398"
"1","false","","false","false","false","9","Russian","0.15","355431"
"1","false","","false","false","false","1","English","0.2","392057"
"1","false","","false","false","false","1","English","4.5","254459"
"1","false","","false","false","false","1","English","0.2","484379"
"1","false","","true","false","false","1","English","0.25","358402"
"1","false","","true","false","false","4","Spanish","0.99","403369"
"1","false","","false","false","false","11","T-Chinese","0.75","3199"
"1","false","","false","false","false","1","English","0.2","269430"
"1","false","","false","false","false","11","T-Chinese","0.99","2208"
"1","false","","false","false","false","4","Spanish","0.15","8011"
"1","false","","false","false","false","1","English","1.75","2790"
"1","false","","false","false","false","1","English","0.2","14266"
"1","false","","false","false","false","4","Spanish","0.2","399729"
"1","false","","false","false","false","1","English","0.25","8320"
"1","false","","false","false","false","1","English","0.1","473894"
"1","false","","false","false","false","1","English","0.1","422831"
"1","false","","true","false","false","1","English","1.99","445353"
"1","false","","false","false","false","1","English","0.15","17761"
"1","false","","false","false","false","1","English","0.15","372078"
"1","false","","true","false","false","4","Spanish","0.25","16296"
"1","false","","false","false","false","1","English","0.1","471859"
"1","false","","false","false","false","1","English","0.2","358779"
"1","false","","false","false","false","1","English","0.1","417301"
"1","false","","false","false","false","4","Spanish","0.35","242417"
"1","false","","false","false","false","8","Portuguese","0.15","10733"
"1","false","","false","false","false","1","English","500","285755"
"1","false","","false","false","false","1","English","9.99","19274"
"1","false","","false","false","false","1","English","1.5","16301"
"1","false","","false","false","false","1","English","0.15","284764"
"1","false","","true","false","false","1","English","0.25","262063"
"1","false","","false","false","false","1","English","0.15","13275"
"1","false","","false","false","false","1","English","0.5","808"
"1","false","","false","false","false","1","English","0.5","319502"
"1","false","","false","false","false","1","English","0.75","5816"
"1","false","","false","false","false","1","English","0.2","372237"
"1","false","","true","false","false","4","Spanish","0.2","297226"
"1","false","","false","false","false","1","English","0.15","261971"
"1","false","","false","false","false","1","English","0.15","401029"
"1","false","","false","false","false","4","Spanish","4.5","14010"
"1","false","","false","false","false","4","Spanish","0.15","290976"
"1","false","","true","false","false","1","English","0.2","366852"
"1","false","","false","false","true","4","Spanish","0.75","256661"
"1","false","","false","false","false","4","Spanish","0.25","552"
"1","false","","false","false","false","1","English","0.1","510145"
"1","false","","false","false","false","1","English","0.25","468054"
"1","false","","false","false","false","4","Spanish","0.1","19018"
"1","false","","false","false","false","1","English","0.75","8789"
"1","false","","true","false","false","1","English","0.15","283033"
"1","false","","false","false","false","1","English","0.1","22610"
"1","false","","false","false","false","1","English","0.15","7798"
"1","false","","false","false","false","1","English","0.1","297231"
"1","false","","false","false","false","6","S-Chinese","0.2","12961"
"1","false","","false","false","false","5","Italian","0.75","300028"
"1","false","","false","false","false","1","English","0.15","293736"
"1","false","","false","false","false","1","English","0.1","19115"
"1","false","","false","false","false","1","English","0.1","269952"
"1","false","","false","false","false","1","English","0.25","10302"
"1","false","","false","false","false","4","Spanish","0.35","247894"
"1","false","","false","false","false","1","English","0.1","496165"
"1","false","","false","false","false","1","English","0.1","262962"
"1","false","","false","false","false","1","English","0.35","242673"
"1","false","","false","false","false","1","English","0.1","364256"
"1","false","","false","false","false","1","English","0.1","290241"
"1","false","","false","false","false","4","Spanish","0.2","6029"
"1","false","","false","false","false","1","English","0.15","368583"
"1","false","","false","false","false","4","Spanish","0.25","13019"
"1","false","","false","false","false","1","English","0.2","314025"
"1","false","","true","false","false","1","English","0.2","451193"
"1","false","","false","false","false","1","English","0.1","301717"
"1","false","","false","false","false","6","S-Chinese","0.15","2476"
"1","false","","false","false","false","4","Spanish","1.99","16514"
"1","false","","false","false","false","1","English","0.15","14788"
"1","false","","true","false","false","1","English","5.99","532092"
"1","false","","false","false","false","4","Spanish","0.99","13647"
"1","false","","false","false","false","1","English","4.5","13638"
"1","false","","false","false","false","1","English","0.1","504305"
"1","false","","false","false","false","1","English","0.1","313972"
"1","false","","false","false","false","1","English","0.1","431334"
"1","false","","false","false","false","4","Spanish","0.15","287171"
"1","false","","false","false","false","1","English","0.15","261555"
"1","false","","false","false","false","4","Spanish","1.75","8480"
"1","false","","false","false","false","1","English","0.5","378705"
"1","false","","false","false","false","4","Spanish","0.2","6498"
"1","false","","false","false","false","4","Spanish","0.15","289153"
"1","false","","false","false","false","1","English","0.2","20787"
"1","false","","false","false","false","4","Spanish","0.25","9683"
"1","false","","true","false","false","1","English","0.15","364295"
"1","false","","true","false","false","1","English","0.2","430329"
"1","false","","false","false","false","1","English","0.15","494864"
"1","false","","false","false","false","4","Spanish","0.1","18912"
"1","false","","false","false","false","1","English","0.35","473319"
"1","false","","false","false","false","1","English","0.1","258370"
"1","false","","false","false","false","1","English","0.1","301770"
"1","false","","true","false","false","4","Spanish","0.35","21773"
"1","false","","false","false","false","4","Spanish","0.25","264847"
"1","false","","false","false","false","4","Spanish","0.15","16408"
"1","false","","false","false","false","1","English","2.5","7692"
"1","false","","true","false","false","1","English","0.15","368259"
"1","false","","false","false","false","4","Spanish","0.75","262343"
"1","false","","false","false","false","1","English","0.5","262856"
"1","false","","true","false","false","1","English","0.15","359030"
"1","false","","false","false","false","1","English","0.1","355390"
"1","false","","false","false","false","1","English","0.15","366601"
"1","false","","false","false","false","1","English","0.25","9152"
"1","false","","false","false","false","7","Japanese","6.99","372758"
"1","false","","false","false","false","1","English","0.15","453968"
"1","false","","false","false","false","1","English","0.25","271465"
"1","false","","false","false","false","6","S-Chinese","0.35","12802"
"1","false","","false","false","false","1","English","41.99","290135"
"1","false","","false","false","false","1","English","0.1","268802"
"1","false","","false","false","false","2","French","300","12222"
"1","false","","true","false","false","1","English","0.35","509980"
"1","false","","true","false","false","1","English","0.5","400024"
"1","false","","false","false","false","1","English","0.15","358832"
"1","false","","false","false","false","1","English","0.1","455428"
"1","false","","false","false","false","1","English","0.2","1746"
"1","false","","true","false","false","1","English","0.15","472004"
"1","false","","false","false","false","4","Spanish","0.1","254725"
"1","false","","false","false","false","1","English","0.1","486414"
"1","false","","false","false","false","1","English","0.15","514994"
"1","false","","false","false","false","1","English","0.15","262077"
"1","false","","false","false","false","2","French","0.15","7736"
"1","false","","false","false","false","1","English","0.1","291860"
"1","false","","false","false","false","11","T-Chinese","0.25","11074"
"1","false","","false","false","false","1","English","0.15","702"
"1","false","","false","false","false","1","English","0.15","269324"
"1","false","","true","false","false","1","English","0.15","495584"
"1","false","","false","false","false","1","English","0.75","378183"
"1","false","","false","false","false","1","English","0.1","245434"
"1","false","","false","false","false","1","English","9.99","259830"
"1","false","","false","false","false","4","Spanish","0.15","250761"
"1","false","","false","false","false","1","English","0.1","284870"
"1","false","","false","false","false","4","Spanish","0.75","2746"
"1","false","","false","false","false","7","Japanese","0.1","257068"
"1","false","","false","false","false","1","English","0.1","269483"
"1","false","","false","false","false","4","Spanish","0.1","22619"
"1","false","","false","false","false","1","English","0.2","2949"
"1","false","","false","false","false","4","Spanish","0.1","254672"
"1","false","","false","false","false","1","English","0.15","250601"
"1","false","","false","false","false","1","English","500","264838"
"1","false","","false","false","false","1","English","0.1","421681"
"1","false","","false","false","false","1","English","0.15","296762"
"1","false","","false","false","false","1","English","0.1","282888"
"1","false","","false","false","false","4","Spanish","0.35","20637"
"1","false","","true","false","false","1","English","0.15","495319"
"1","false","","false","false","false","1","English","0.25","7851"
"1","false","","false","false","false","1","English","2.99","369786"
"1","false","","false","false","false","1","English","0.1","294780"
"1","false","","false","false","false","1","English","11.99","247938"
"1","false","","false","false","false","1","English","0.15","9674"
"1","false","","false","false","false","1","English","0.15","535548"
"1","false","","false","false","false","1","English","0.15","2684"
"1","false","","false","false","false","1","English","1.99","7435"
"1","false","","false","false","false","1","English","0.25","445"
"1","false","","false","false","false","4","Spanish","0.15","273297"
"1","false","","false","false","false","1","English","0.1","262334"
"1","false","","false","false","false","4","Spanish","0.15","3994"
"1","false","","false","false","false","1","English","0.1","287374"
"1","false","","false","false","false","1","English","0.15","12337"
"1","false","","false","false","false","1","English","0.2","365300"
"1","false","","false","false","false","1","English","0.1","289197"
"1","false","","true","false","false","1","English","0.2","372223"
"1","false","","false","false","false","1","English","0.99","260095"
"1","false","","false","false","false","1","English","0.15","438324"
"1","false","","false","false","false","4","Spanish","0.15","290923"
"1","false","","false","false","false","1","English","0.15","14160"
"1","false","","false","false","false","1","English","0.15","519745"
"1","false","","false","false","false","1","English","0.1","417876"
"1","false","","false","false","false","1","English","0.75","14682"
"1","false","","false","false","false","1","English","0.15","17867"
"1","false","","false","false","false","1","English","12.99","491944"
"1","false","","false","false","false","1","English","0.1","242045"
"1","false","","true","false","false","1","English","0.15","452918"
"1","false","","false","false","false","1","English","0.1","368530"
"1","false","","false","false","false","1","English","0.15","258529"
"1","false","","false","false","false","4","Spanish","0.35","11400"
"1","false","","false","false","false","1","English","0.1","19849"
"1","false","","false","false","false","1","English","0.25","418761"
"1","false","","false","false","false","1","English","0.15","21831"
"1","false","","false","false","false","4","Spanish","0.2","3268"
"1","false","","false","false","false","1","English","13.99","466329"
"1","false","","true","false","false","1","English","3.5","513785"
"1","false","","false","false","false","4","Spanish","0.35","266564"
"1","false","","true","false","false","1","English","0.15","472269"
"1","false","","false","false","false","1","English","8.99","497890"
"1","false","","false","false","false","4","Spanish","0.25","247319"
"1","false","","false","false","false","1","English","0.15","298328"
"1","false","","false","false","false","1","English","0.15","265882"
"1","false","","false","false","false","1","English","0.35","11399"
"1","false","","false","false","false","4","Spanish","0.25","285915"
"1","false","","false","false","false","1","English","0.15","22035"
"1","false","","false","false","false","4","Spanish","0.15","248000"
"1","false","","false","false","false","1","English","0.15","6232"
"1","false","","false","false","false","4","Spanish","0.99","13904"
"1","false","","true","false","false","1","English","0.99","313701"
"1","false","","false","false","false","11","T-Chinese","0.25","9773"
"1","false","","false","false","false","1","English","0.15","366026"
"1","false","","false","false","false","1","English","0.1","13903"
"1","false","","false","false","false","4","Spanish","0.25","404684"
"1","false","","false","false","false","7","Japanese","1.5","285"
"1","false","","false","false","false","1","English","0.15","292798"
"1","false","","false","false","false","1","English","0.15","19168"
"1","false","","false","false","false","4","Spanish","0.1","21938"
"1","false","","false","false","false","1","English","0.5","504040"
"1","false","","false","false","false","1","English","0.15","366866"
"1","false","","true","false","false","4","Spanish","0.25","373011"
"1","false","","true","false","false","1","English","0.15","496000"
"1","false","","false","false","false","11","T-Chinese","0.99","120"
"1","false","","false","false","false","4","Spanish","0.35","252486"
"1","false","","false","false","false","4","Spanish","0.99","3472"
"1","false","","false","false","false","1","English","0.2","301611"
"1","false","","true","false","false","4","Spanish","0.25","265355"
"1","false","","false","false","false","1","English","0.2","5869"
"1","false","","false","false","false","1","English","0.15","461639"
"1","false","","false","false","false","4","Spanish","0.15","13125"
"1","false","","false","false","false","1","English","0.1","401914"
"1","false","","false","false","false","1","English","0.75","1905"
"1","false","","false","false","false","1","English","0.1","361858"
"1","false","","false","false","true","1","English","500","503525"
"1","false","","false","false","false","1","English","0.15","315432"
"1","false","","false","false","false","1","English","0.15","529337"
"1","false","","false","false","false","4","Spanish","0.15","15107"
"1","false","","false","false","false","4","Spanish","0.1","283570"
"1","false","","false","false","false","1","English","0.15","15045"
"1","false","","false","false","false","1","English","0.15","474779"
"1","false","","false","false","false","1","English","0.25","3728"
"1","false","","false","false","false","1","English","0.15","264059"
"1","false","","false","false","false","1","English","0.1","257069"
"1","false","","false","false","false","1","English","0.15","467789"
"1","false","","false","false","false","1","English","8.99","496430"
"1","false","","false","false","false","1","English","0.15","423406"
"1","false","","false","false","false","1","English","0.1","416416"
"1","false","","false","false","false","1","English","0.75","295824"
"1","false","","true","false","false","1","English","0.2","469084"
"1","false","","false","false","false","1","English","0.75","452508"
"1","false","","true","false","false","1","English","0.15","366958"
"1","false","","false","false","false","4","Spanish","0.25","8276"
"1","false","","true","false","false","1","English","0.15","455263"
"1","false","","false","false","false","1","English","0.15","19531"
"1","false","","false","false","false","4","Spanish","0.2","2950"
"1","false","","false","false","false","1","English","0.25","5710"
"1","false","","false","false","false","4","Spanish","0.25","3631"
"1","false","","false","false","false","1","English","0.1","420221"
"1","false","","false","false","false","1","English","5.99","270527"
"1","false","","false","false","false","1","English","0.15","13381"
"1","false","","false","false","false","7","Japanese","0.1","289196"
"1","false","","false","false","false","1","English","0.15","514215"
"1","false","","true","false","false","4","Spanish","0.35","284343"
"1","false","","false","false","false","1","English","0.5","6391"
"1","false","","false","false","false","1","English","0.15","267864"
"1","false","","false","false","false","4","Spanish","0.75","19593"
"1","false","","false","false","false","1","English","0.1","266041"
"1","false","","true","false","false","1","English","0.35","486869"
"1","false","","false","false","false","1","English","0.15","8214"
"1","false","","false","false","false","4","Spanish","2.99","8374"
"1","false","","false","false","false","1","English","0.25","20893"
"1","false","","false","false","false","4","Spanish","0.15","20788"
"1","false","","false","false","false","7","Japanese","0.35","19999"
"1","false","","false","false","false","4","Spanish","0.2","364310"
"1","false","","false","false","false","1","English","0.75","271669"
"1","false","","false","false","false","4","Spanish","0.15","19797"
"1","false","","true","false","false","1","English","35.99","296597"
"1","false","","false","false","false","1","English","1.75","8479"
"1","false","","false","false","false","11","T-Chinese","0.1","67"
"1","false","","false","false","false","1","English","0.15","2109"
"1","false","","false","false","false","1","English","0.1","273084"
"1","false","","false","false","false","1","English","0.5","301452"
"1","false","","false","false","false","11","T-Chinese","0.5","2473"
"1","false","","false","false","false","1","English","0.5","482654"
"1","false","","true","false","false","1","English","2.5","296695"
"1","false","","false","false","false","1","English","0.1","245850"
"1","false","","true","false","false","1","English","0.35","3298"
"1","false","","false","false","false","4","Spanish","0.15","298700"
"1","false","","false","false","false","1","English","0.1","261237"
"1","false","","false","false","false","1","English","0.1","532212"
"1","false","","false","false","false","4","Spanish","1.75","3419"
"1","false","","false","false","false","4","Spanish","0.2","372238"
"1","false","","false","false","false","1","English","0.25","20000"
"1","false","","false","false","false","1","English","0.75","298381"
"1","false","","false","false","false","4","Spanish","0.2","8798"
"1","false","","false","false","false","4","Spanish","0.1","252539"
"1","false","","false","false","false","1","English","0.15","292533"
"1","false","","false","false","false","1","English","0.25","3622"
"1","false","","false","false","false","1","English","0.99","267607"
"1","false","","false","false","false","1","English","0.15","13434"
"1","false","","false","false","false","4","Spanish","0.2","9267"
"1","false","","false","false","false","4","Spanish","0.2","270475"
"1","false","","true","false","false","1","English","0.2","514050"
"1","false","","false","false","false","1","English","0.15","359036"
"1","false","","false","false","false","1","English","0.2","265723"
"1","false","","true","false","false","1","English","0.25","261957"
"1","false","","false","false","false","4","Spanish","0.1","283411"
"1","false","","true","false","false","1","English","0.2","375612"
"1","false","","false","false","false","1","English","4.25","430449"
"1","false","","false","false","false","1","English","0.15","242779"
"1","false","","false","false","false","1","English","0.15","250760"
"1","false","","true","false","false","1","English","4.99","453538"
"1","false","","false","false","false","1","English","0.1","21884"
"1","false","","false","false","false","1","English","0.15","16505"
"1","false","","false","false","false","1","English","2.99","551"
"1","false","","false","false","false","1","English","0.1","378342"
"1","false","","false","false","false","1","English","0.5","12443"
"1","false","","false","false","false","1","English","0.75","10559"
